ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,תוצאה מירבית ב% ביחס לסף הבריאות,תאור נקודה בה התקבלה תוצאה מירבית,טכנולוגיית שידור
1090,PHI (משרת את הוט ופרטנר),WE3097I,הרצליה,שירת דבורה,עירית הרצליה,הרצליה,183729,675050,תורן קרקעי,15/07/2020,22/11/2020,01/11/2020,יש היתר,.0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת מקום.,דור  2 3 4 5
1714,PHI (משרת את הוט ופרטנר),WE3381E,הרצליה,צומת גלילות,עירית הרצליה,הרצליה,181457,673276,תורן קרקעי,24/08/2020,24/11/2020,01/11/2020,יש היתר,.0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת מקום,דור  2 3 4 5
418,PHI (משרת את הוט ופרטנר),RN0676B,אור עקיבא,א.ת. אור עקיבא,מ.מקומית אור עקיבא,אור עקיבא,193387,712162,אתר זעיר פנימי,23/08/2020,09/12/2020,01/12/2020,יש היתר,25.8,5.24,במפלס הרצפה מול אנטנת פנל במרחק 0.5 מטר ממנה,דור  3 4
464,PHI (משרת את הוט ופרטנר),WE0760B,לוד,כינסה ל  Air port city,עירית לוד,חבל מודיעין,191812,654638,תורן קרקעי,08/09/2020,01/12/2020,02/11/2020,יש היתר,1.3,0.2,בתחנת דלק דור כפר טרומן במרחק 430 מטר,דור  2 3 4
107,PHI (משרת את הוט ופרטנר),TS0421C,שובל,"כביש מס` 246 ב""ש ת""א",מ.א בני שמעון,בני שמעון,175034,590331,תורן קרקעי,08/09/2020,06/12/2020,02/12/2020,יש היתר,.0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת מקום.,דור  2 3 4 5
177,PHI (משרת את הוט ופרטנר),WI0987C,תל אביב,מנחם בגין 150,עירית תל אביב,תל אביב יפו,180794,665173,אתר זעיר פנימי,05/05/2025,16/12/2020,02/12/2020,יש היתר,25.1,3.94,במפלס הרצפה מול אנטנה כלל כיווני ת במרחק 0.5 מטר,דור  3 4
8189,פלאפון,330794,תל אביב,דרך מנחם בגין 150-152.,תל אביב יפו,תל אביב יפו,180791,665183,אתר זעיר פנימי,08/05/2025,18/01/2021,02/12/2020,יש היתר,18.3,3.613,מנחם בגין 150   תל אביב,דור 3 4
5294,סלקום,22721,תל אביב -יפו,מנחם בגין 150 תל אביב,תל אביב -יפו,תל אביב יפו,180825,665166,אתר זעיר פנימי,05/08/2020,23/12/2020,02/12/2020,יש היתר,18.3,3.613,רצפה,דור 3 4
515,PHI (משרת את הוט ופרטנר),WI3855D,תל אביב,השלושה 2,עירית תל אביב,תל אביב יפו,180177,663227,אתר זעיר פנימי,24/12/2019,22/11/2020,03/11/2020,יש היתר,30.2,6.15,במפלס הרצפה מול אנטנת פנל במרחק 0.5מטר,דור  3 4
7794,פלאפון,330616,תל אביב,יד אליהו מול מוטורולה,תל אביב יפו,תל אביב יפו,180242,663243,אתר זעיר פנימי,26/12/2019,24/11/2020,03/11/2020,יש היתר,30.2,6.15,מול אנטנה פנל במרחק 0.5 מטר ממנה,דור 3 4
